identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-1097895247965112460,user,Royaume-Uni,en,147,10,77,26,174,74.0,104,1,M,1,mr,True,False,True,True,11,3196,106.53,8.88,gb
2347567364561867620,user,Monaco,en,167,8,2,19,170,99.0,0,0,F,2,mrs,True,False,True,True,12,3204,106.8,8.9,mc
6870940546848049750,user,France,fr,137,13,60,33,163,94.0,10,3,F,2,mrs,True,False,True,False,11,3203,106.77,8.9,fr
-4640272621319568052,user,Etats-Unis,en,131,10,14,122,152,92.0,7,0,F,2,mrs,True,False,True,False,12,3198,106.6,8.88,us
-5175830994878542658,user,Etats-Unis,en,167,8,0,25,125,100.0,0,0,F,2,mrs,False,False,False,True,22,2854,95.13,7.93,us
7631788075812383072,user,Allemagne,de,130,12,1,47,123,91.0,0,0,F,2,mrs,True,False,True,False,11,3196,106.53,8.88,de
674361423306028463,user,Suède,en,121,0,1140,31,108,94.0,531,105,F,3,miss,True,True,False,False,11,3198,106.6,8.88,se
2550976450216757005,user,France,fr,53,9,3,5,106,98.0,0,0,F,2,mrs,True,False,True,True,11,2857,95.23,7.94,fr
3718185418791028367,user,Italie,it,744,13764,51671,0,104,85.0,1842,0,F,2,mrs,True,False,True,False,14,3195,106.5,8.88,it
3908244093584862523,user,Royaume-Uni,en,57,8,45,123,92,74.0,6,2,F,3,miss,True,False,True,True,11,2856,95.2,7.93,gb
-8291872437813427796,user,Italie,it,127,40,863,40,87,89.0,68,0,M,1,mr,True,False,True,False,11,3195,106.5,8.88,it
-7992812913368049944,user,Etats-Unis,en,102,8,0,0,87,98.0,0,0,F,2,mrs,False,False,False,True,68,2855,95.17,7.93,us
-6042837405271512617,user,Espagne,es,46,19,1308,63,87,92.0,564,36,F,2,mrs,True,False,True,True,11,3195,106.5,8.88,es
8027803513424684410,user,Italie,it,35,9,2,185,87,94.0,2,0,M,1,mr,True,False,True,False,11,2859,95.3,7.94,it
